concepto,referencia,fecha,precio
GRAPA MUELLE CAMIONETA 4X4 TYT- FTN (GRAPA MUELLE),GRAPA MUELLE,2022/04/18,9776.0
LIMPIADOR TECHNO CLEAN GALON (8940),8940,2023/08/22,42017.0
TORNILLOS GRADUACION ALINEA TOYOTA LARGO (81900K010),81900K010,2021/09/08,35900.0
BUJE MUELLE  TEFLON CORTO 33MM (BJM-TO-L01/GDS9736),BJM-TO-L01/GDS9736,2022/07/15,3500.0
BUJE MUELLE TEFLON LARGO 30mm (BJM-TO-C017/GDS9320),BJM-TO-C017/GDS9320,2021/12/21,5882.35
BUJE AMORTIGUADOR DEL NISSAN D23 DIESEL (E610-ED71A/562194KH7AAU),E610-ED71A/562194KH7AAU,2023/10/03,40336.0
BUJE MUELLE HOJA PPAL FORD RANGER  3.2 * (BJEFOM3.2),BJEFOM3.2,2023/07/27,36000.0
HOJA SEGU. VUELTA TRAS TOYOTA HILUX REVO (90-281/2),90-281/2,2021/12/15,168067.23
HOJA TERCERA TRASERA TOYOTA HILUX REVO  (90-351/3),90-351/3,2021/12/15,109243.7
HOJA PPAL TRAS. TOYOTA HILUX REVO DIES (90-281 IMAL),90-281 IMAL,2021/12/15,193277.31
TORNILLO CENTRAL MUELLE TOYOTA HILUX (TCH01/TC02C5CHG5),TCH01/TC02C5CHG5,2023/07/21,2332.0
HOJA SEGUND PLANA FORD RANGER 3.2 (HS2PLFR),HS2PLFR,2023/03/31,218487.39
HOJA PRINCIPAL DELANTERA HINO FC4J (DEL195-4280),DEL195-4280,2023/07/18,502082.0
BUJE MUELLE SILENCIADOR UNIVERSAL (9622),9622,2022/03/01,3361.74
HOJA PRINCIPAL MITSUBISHI L200 2.5 DIESE (HJAPAL01L200),HJAPAL01L200,2023/03/28,201681.0
HOJA SEGUNDA VUELTA MITSIB. L200 DIE (HJASDAL02),HJASDAL02,2022/03/25,151260.5
TORNILLO GUIA CENTRAL (TOR),TOR,2022/09/26,5042.0
HOJA PRINCIPAL FORD RANGER HOM (HJFR),HJFR,2023/05/11,268907.56
TERMINAL EXT DER NISSAN ORG (TERWA2818AU),TERWA2818AU,2023/08/29,45534.0
BUJE MUELLE TEFLON LARGO 33mm (BJLG33mm),BJLG33mm,2023/02/11,7563.03
BUJE AMORTIGUADOR DEL FORD RANGER 3.2 (614003/2019),614003/2019,2023/06/22,36000.0
BUJE AMORTIGUADOR TEFLON GENERICO (9634),9634,2023/10/27,2500.0
SUAVIZADOR POLIURETANO (SM-WSD),SM-WSD,2023/06/22,5000.0
CILINDRO FRENO FORD RANGER 2019 3.2 DIES (UC2R26610 / CR-32),UC2R26610 / CR-32,2023/04/11,61600.0
BATERIA 34RST 1200 MG (34RT1200MG),34RST1200MG,2023/10/28,389021.0
TAPA RADIADOR CHEVROLET NPR 2011 (95620780),95620780,2018/01/11,34106.0
TAPA TANQUE CON LLAVE  COMBUST NPR 2011 (8971158561),8971158561,2018/01/11,102992.0
AMORTIGUADOR TRAS. CHEVROLET FRR RWARD (5234063 - 65123),5234063 - 65123,2022/03/03,270000.0
BOMBILLO AMBAR DIRECC 1 FILAMENTO 12V (P21WY),P21WY,2023/07/31,36000.0
CORREA 17453 (17453),4PK1090,2018/02/10,29412.0
CORREA 17570 (CR17570),6PK2655,2018/04/20,58029.0
FILTRO ACEITE MOTOR INTERNATIONAL 7600 (LF14000NN),LF14000NN,2023/07/04,145000.0
CORREA 17455 (17455),17475,2018/02/10,17468.0
"PLUMILLAS 18"" (PLUM18-01)",PLUM18-01,2023/01/14,38400.0
